entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle	lowest_energy_var
channel_bac_merfish__10__2__8__64__100__20__fdr	channel_bac_merfish	10	64	2	8	fdr	100.0	0.2242220789194107	0.3741373419761657	0.0121255619451403	247822	25	0.2688665986061096
channel_bac_merfish__10__2__8__64__10__20__fdr	channel_bac_merfish	10	64	2	8	fdr	10.0	0.2042470276355743	0.3180825412273407	0.0093637490645051	246938	25	0.2457336187362671
channel_bac_merfish__6__1__5__16__1000__20__fdr	channel_bac_merfish	6	16	1	5	fdr	1000.0	0.2986014485359192	0.4925088286399841	0.0287065189331769	282226	11	0.33799540996551514
channel_bac_merfish__6__1__5__16__100__20__fdr	channel_bac_merfish	6	16	1	5	fdr	100.0	0.2609926164150238	0.4092482328414917	0.0262128692120313	139973	11	0.28545498847961426
channel_bac_merfish__6__1__5__16__10__20__fdr	channel_bac_merfish	6	16	1	5	fdr	10.0	0.2364597022533416	0.3360718488693237	0.01873629540205	133334	12	0.26485884189605713
channel_bac_merfish__6__2__4__16__1000__20__fdr	channel_bac_merfish	6	16	2	4	fdr	1000.0	0.3147361576557159	0.4961424767971039	0.0278300549834966	358912	11	0.33799540996551514
channel_bac_merfish__6__2__4__16__100__20__fdr	channel_bac_merfish	6	16	2	4	fdr	100.0	0.2722216248512268	0.4135472476482391	0.0255795065313577	222542	11	0.28545498847961426
channel_bac_merfish__6__2__4__16__10__20__fdr	channel_bac_merfish	6	16	2	4	fdr	10.0	0.2466008067131042	0.3408930897712707	0.0180065333843231	125059	11	0.26485884189605713
channel_bac_merfish__7__1__6__16__1000__20__fdr	channel_bac_merfish	7	16	1	6	fdr	1000.0	0.2236186414957046	0.4206756949424743	0.0326334908604621	181698	11	0.24632006883621216
channel_bac_merfish__7__1__6__16__100__20__fdr	channel_bac_merfish	7	16	1	6	fdr	100.0	0.1740346252918243	0.3386814892292022	0.0286518279463052	132815	11	0.20490169525146484
channel_bac_merfish__7__1__6__16__10__20__fdr	channel_bac_merfish	7	16	1	6	fdr	10.0	0.1399443447589874	0.2753068208694458	0.0207043886184692	122378	11	0.19485867023468018
