entity:sample_id	channel_model	code_length	n_types	min_hamming_weight	max_hamming_weight	metric_type	source_nonuniformity	lowest_energy_sa	rand_state_energy_loc	rand_state_energy_scale	i_iter	i_cycle
channel_bac_merfish__7__1__6__16__1000__20__fdr	channel_bac_merfish	7	16	1	6	fdr	1000.0	0.22361864149570465	0.42067569494247437	0.03263349086046219	181698	11
channel_bac_merfish__7__1__6__16__100__20__fdr	channel_bac_merfish	7	16	1	6	fdr	100.0	0.17403462529182434	0.33868148922920227	0.028651827946305275	132815	11
channel_bac_merfish__7__1__6__16__10__20__fdr	channel_bac_merfish	7	16	1	6	fdr	10.0	0.13994434475898743	0.2753068208694458	0.02070438861846924	122378	11
channel_bac_merfish__7__1__6__32__1000__20__fdr	channel_bac_merfish	7	32	1	6	fdr	1000.0	0.34887969493865967	0.5430821776390076	0.017895042896270752	330545	21
channel_bac_merfish__7__1__6__32__100__20__fdr	channel_bac_merfish	7	32	1	6	fdr	100.0	0.31826475262641907	0.4655744135379791	0.01636638678610325	216860	20
channel_bac_merfish__7__1__6__32__10__20__fdr	channel_bac_merfish	7	32	1	6	fdr	10.0	0.2979484796524048	0.396514892578125	0.012323576956987381	248931	24
channel_bac_merfish__7__2__5__16__1000__20__fdr	channel_bac_merfish	7	16	2	5	fdr	1000.0	0.23346355557441711	0.42269545793533325	0.032319553196430206	276948	11
channel_bac_merfish__7__2__5__16__100__20__fdr	channel_bac_merfish	7	16	2	5	fdr	100.0	0.19035732746124268	0.3411690592765808	0.028351327404379845	171372	11
channel_bac_merfish__7__2__5__16__10__20__fdr	channel_bac_merfish	7	16	2	5	fdr	10.0	0.16082558035850525	0.2778519093990326	0.020672129467129707	121017	11
channel_bac_merfish__7__2__5__32__1000__20__fdr	channel_bac_merfish	7	32	2	5	fdr	1000.0	0.3572506308555603	0.5454471707344055	0.017697079107165337	365483	19
channel_bac_merfish__7__2__5__32__100__20__fdr	channel_bac_merfish	7	32	2	5	fdr	100.0	0.3228847086429596	0.46852079033851624	0.016317840665578842	230075	20
channel_bac_merfish__7__2__5__32__10__20__fdr	channel_bac_merfish	7	32	2	5	fdr	10.0	0.30111193656921387	0.3998205065727234	0.012141303159296513	208258	21
channel_bac_merfish__8__1__7__16__1000__20__fdr	channel_bac_merfish	8	16	1	7	fdr	1000.0	0.14770399034023285	0.3513661026954651	0.034197717905044556	231838	14
channel_bac_merfish__8__1__7__16__100__20__fdr	channel_bac_merfish	8	16	1	7	fdr	100.0	0.10987673699855804	0.275297075510025	0.028528613969683647	111379	11
channel_bac_merfish__8__1__7__16__10__20__fdr	channel_bac_merfish	8	16	1	7	fdr	10.0	0.09350961446762085	0.22085952758789062	0.02101575769484043	108342	11
channel_bac_merfish__8__1__7__32__1000__20__fdr	channel_bac_merfish	8	32	1	7	fdr	1000.0	0.2772114872932434	0.47095251083374023	0.02032090723514557	334291	22
channel_bac_merfish__8__1__7__32__100__20__fdr	channel_bac_merfish	8	32	1	7	fdr	100.0	0.24094760417938232	0.3925706744194031	0.01824793592095375	214694	20
channel_bac_merfish__8__1__7__32__10__20__fdr	channel_bac_merfish	8	32	1	7	fdr	10.0	0.21117767691612244	0.33001387119293213	0.013758178800344467	215152	17
channel_bac_merfish__8__1__7__64__1000__20__fdr	channel_bac_merfish	8	64	1	7	fdr	1000.0	0.40326356887817383	0.5904757380485535	0.011137563735246658	238538	23
